Name,Agent,State,Notes,User,Tags,Created,Runtime,Sweep,batch_size,conv_filter_1,conv_filter_2,conv_filter_3,conv_filter_4,dropout_rate,early_terminate.min_iter,early_terminate.type,input_shape,learning_rate,method,metric.goal,metric.name,neurons_FC1,neurons_FC2,num_classes,optimizer_type,parameters.batch_sizes,parameters.conv_filter_1s,parameters.conv_filter_2s,parameters.conv_filter_3s,parameters.conv_filter_4s,parameters.dropout_rates,parameters.learning_rates,parameters.neurons_FC1s,parameters.neurons_FC2s,parameters.optimizer_types,parameters.schedulers,parameters.weight_decays,scheduler,weight_decay,epoch,global_step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,trainer/global_step,val_acc,val_loss
glamorous-sweep-10,,finished,-,,,2024-10-15T19:13:40.000Z,111,4s3wp7hw,64,64,256,256,512,0.2,,,"[3,32,32]",0.00001,,,,512,128,10,sgd,,,,,,,,,,,,,StepLR,0,4,2816,0.110399999,2.303701162,0.101444446,0.015625,2.303753376,2.32319665,2816,0.104400001,2.303649664
vague-sweep-9,,finished,-,,,2024-10-15T19:11:43.000Z,115,4s3wp7hw,128,128,128,128,256,0.25,,,"[3,32,32]",0.0001,,,,128,128,10,adamw,,,,,,,,,,,,,StepLR,0.00001,5,1760,0.556400001,1.229274869,0.534600019,0.5390625,1.289551735,1.421779394,1760,0.54519999,1.258565426
kind-sweep-8,,finished,-,,,2024-10-15T19:09:41.000Z,119,4s3wp7hw,64,32,64,128,512,0.25,,,"[3,32,32]",0.0001,,,,512,128,10,sgd,,,,,,,,,,,,,CosineAnnealingLR,0,4,2816,0.100000001,2.302819252,0.101177774,0.0625,2.303040981,2.311734438,2816,0.103600003,2.302043438
glowing-sweep-7,,finished,-,,,2024-10-15T19:07:24.000Z,130,4s3wp7hw,64,64,128,256,256,0.2,,,"[3,32,32]",0.00001,,,,128,128,10,adam,,,,,,,,,,,,,None,0.0001,5,3520,0.393700004,1.629076004,0.368666679,0.359375,1.699005008,1.660641551,3520,0.382200003,1.650617719
snowy-sweep-6,,finished,-,,,2024-10-15T19:04:27.000Z,173,4s3wp7hw,32,128,256,256,256,0.2,,,"[3,32,32]",0.00001,,,,512,128,10,adamw,,,,,,,,,,,,,CosineAnnealingLR,0.0001,5,7035,0.476799995,1.438492894,0.445199996,0.5625,1.509314775,1.378929019,7035,0.471799999,1.439159989
fluent-sweep-5,,finished,-,,,2024-10-15T19:01:40.000Z,163,4s3wp7hw,32,128,128,256,256,0.25,,,"[3,32,32]",0.001,,,,256,64,10,adam,,,,,,,,,,,,,StepLR,0,5,7035,0.739099979,0.784819543,0.780311108,0.71875,0.636051655,0.545261621,7035,0.739799976,0.754816771
fiery-sweep-4,,finished,-,,,2024-10-15T18:58:47.000Z,171,4s3wp7hw,32,32,128,128,512,0.25,,,"[3,32,32]",0.001,,,,256,64,10,adamw,,,,,,,,,,,,,StepLR,0.0001,5,7035,0.735899985,0.807846963,0.790044427,0.8125,0.605871379,0.620459497,7035,0.735000014,0.774601281
lilac-sweep-3,,finished,-,,,2024-10-15T18:55:51.000Z,171,4s3wp7hw,32,32,128,256,256,0.25,,,"[3,32,32]",0.0001,,,,128,128,10,adam,,,,,,,,,,,,,StepLR,0,5,7035,0.62440002,1.043962598,0.601888895,0.625,1.10916388,0.978661299,7035,0.629999995,1.039517283
helpful-sweep-2,,finished,-,,,2024-10-15T18:53:49.000Z,116,4s3wp7hw,128,128,128,256,512,0.2,,,"[3,32,32]",0.00001,,,,128,128,10,adam,,,,,,,,,,,,,None,0,5,1760,0.388900012,1.658564448,0.35962221,0.359375,1.731018424,1.673803806,1760,0.386599988,1.675196052
astral-sweep-1,,finished,-,,,2024-10-15T18:50:57.000Z,166,4s3wp7hw,32,64,128,128,512,0.2,,,"[3,32,32]",0.001,,,,256,64,10,adam,,,,,,,,,,,,,CosineAnnealingLR,0.00001,5,7035,0.734300017,0.796761036,0.804133356,0.875,0.57316196,0.356959373,7035,0.727199972,0.809464455
